frozenset({'Yao Yuan', 'Sun Maosong'}) 10
frozenset({'Han Xu', 'Liu Zhiyuan'}) 29
frozenset({'Han Xu', 'Sun Maosong'}) 22
frozenset({'Liu Zhiyuan', 'Sun Maosong'}) 70
frozenset({'Wu Youzheng', 'He Xiaodong'}) 11
frozenset({'Bhattacharyya Pushpak', 'Saha Sriparna'}) 17
frozenset({'Huang Shujian', 'Dai Xinyu'}) 15
frozenset({'Huang Shujian', 'Chen Jiajun'}) 34
frozenset({'Chen Jiajun', 'Dai Xinyu'}) 19
frozenset({'Sun Maosong', 'Lin Yankai'}) 20
frozenset({'Wang William Yang', 'Chen Wenhu'}) 13
frozenset({'Wang William Yang', 'Xiong Wenhan'}) 15
frozenset({'Li Yunyao', 'Chiticariu Laura'}) 14
frozenset({'Liu Tingwen', 'Yu Bowen'}) 15
frozenset({'Lin Ying', 'Ji Heng'}) 16
frozenset({'Chang Shih-Fu', 'Ji Heng'}) 13
frozenset({'Voss Clare', 'Ji Heng'}) 12
frozenset({'Pan Xiaoman', 'Ji Heng'}) 18
frozenset({'Brown Susan Windisch', 'Palmer Martha'}) 10
frozenset({'Gong Hongyu', 'Bhat Suma'}) 10
frozenset({'Alva-Manchego Ferno', 'Specia Lucia'}) 10
frozenset({'Gaspari Federico', 'Way Andy'}) 10
frozenset({'Haddow Barry', 'Birch Alexra'}) 19
frozenset({'Voss Clare', 'Bonial Claire'}) 10
frozenset({'Camacho-Collados Jose', 'Pilehvar Mohammad Taher'}) 12
frozenset({'Pustejovsky James', 'Krishnaswamy Nikhil'}) 12
frozenset({'Schlangen David', 'Kennington Casey'}) 15
frozenset({'Mineshima Koji', 'Yanaka Hitomi'}) 11
frozenset({'Mineshima Koji', 'Bekki Daisuke'}) 19
frozenset({'Poria Soujanya', 'Cambria Erik'}) 17
frozenset({'Choudhury Monojit', 'Bali Kalika'}) 29
frozenset({'Paggio Patrizia', 'Navarretta Costanza'}) 10
